id,title,title_original,director_id,release_date,mins,country,genre,imdb,youtube,youtube_title,wikipedia,famous,itunes
ashes-and-diamonds,Ashes and Diamonds,Popiół i diament,wajda-andrzej,1958-10-03,96,Poland,War-Drama-Political,http://www.imdb.com/title/tt0052080/?ref_=ttrel_rel_tt,L3Q8cpl6_Dc,Trailer,,1,
without-anesthesia,Without Anesthesia,Bez znieczulenia,wajda-andrzej,1978-11-27,131,Poland-France,Political-Drama,http://www.imdb.com/title/tt0078857/?ref_=ttrel_rel_tt,nFNVXkTNMro,Trailer,,1,
naked-and-the-dead,The Naked and the Dead,The Naked and the Dead,walsh-raoul,1958-08-06,131,USA,War-Drama,http://www.imdb.com/title/tt0051978/?ref_=ttrel_rel_tt,zzN3f3a6U7I,Trailer,,1,
easter-parade,Easter Parade,Easter Parade,walters-charles,1948-06-30,107,USA,Musical-Romance,http://www.imdb.com/title/tt0040308/?ref_=fn_al_tt_1,KKr9S2UNFAU,Trailer,,1,
chelsea-girls,Chelsea Girls,Chelsea Girls,warhol-andy,1966-09-01,210,USA,Drama-Avant-Garde,http://www.imdb.com/title/tt0061465/?ref_=ttrel_rel_tt,,,,0,
fearles_1993,Fearless,Fearless,weir-peter,1993-10-15,122,USA,Drama,http://www.imdb.com/title/tt0106881/?ref_=ttrel_rel_tt,NHydTa0KlYo,Clip,,1,
truman-show,The Truman Show,The Truman Show,weir-peter,1998-06-01,102,USA,Drama-Comedy-Science-Fiction,http://www.imdb.com/title/tt0120382/?ref_=ttrel_rel_tt,loTIzXAS7v4,Trailer,,1,
touch-of-evil,Touch of Evil,Touch of Evil,welles-orson,1958-04-23,108,USA,Thriller-Crime,http://www.imdb.com/title/tt0052311/?ref_=ttrel_rel_tt,gFCaDFAKNlk,Trailer,,1,
immortal-story,The Immortal Story,Histoire immortelle,welles-orson,1968-05-24,63,France,Drama,http://www.imdb.com/title/tt0063127/?ref_=ttrel_rel_tt,kqQs7dg69wI,The Immortal Story clip (Criterion Collection),,1,
beggars of-life,Beggars of Life,Beggars of Life,wellman-william,1928-09-22,100,USA,Adventure-Drama,http://www.imdb.com/title/tt0018684/?ref_=ttrel_rel_tt,S81cMoSP9OA,Louise Brooks - BEGGARS OF LIFE (1928) - Restoration Trailer,,1,
ox-bow-incident,The Ox-Bow Incident,The Ox-Bow Incident,wellman-william,1943-05-08,75,USA,Western-Drama,http://www.imdb.com/title/tt0036244/?ref_=ttrel_rel_tt,dyQIxE1sqYk,William Wellman - The Ox-Bow Incident,,1,
yellow-sky,Yellow Sky,Yellow Sky,wellman-william,1948-12-24,98,USA, Crime-Western,http://www.imdb.com/title/tt0040978/?ref_=ttrel_rel_tt,Jnub_flGGcw,Trailer,,1,
he-walked-by-night,He Walked by Night,He Walked by Night,werker-alfred-l,1948-11-24,79,USA,Crime-Film-Noir-Thriller,http://www.imdb.com/title/tt0040427/?ref_=ttrel_rel_tt,FMkGu8AQScA,Trailer,,1,
speedy_1928,Speedy,Speedy,wilde-ted,1928-04-07,85,USA,Comedy-Action,http://www.imdb.com/title/tt0019412/?ref_=ttrel_rel_tt,lkqz3lpUBp0,Driving Around New York City - 1928,,1,
five-graves-to-cairo,Five Graves to Cairo,Five Graves to Cairo,wilder-billy,1943-05-26,96,USA,Thriller-War ,http://www.imdb.com/title/tt0035884/?ref_=ttrel_rel_tt,K8-1gYu-4dk,Trailer,,1,
